TrainLoss TrainAccuracy TestLoss TestAccuracy
1.53651 47.5913 0.926849 71.3376
0.768652 75.7929 0.668078 79.6278
0.622742 80.9768 0.562469 83.4295
0.539193 84.0435 0.502972 85.3205
0.484088 85.8925 0.450634 86.9327
0.437197 87.4217 0.4035 88.1967
0.399392 88.3262 0.378389 88.7241
0.372843 89.0892 0.356325 89.4506
0.352426 89.7122 0.33498 90.2866
0.334485 90.3268 0.316976 90.8041
0.318032 90.7249 0.306378 90.9435
0.302294 91.2647 0.287533 91.5506
0.287793 91.6611 0.277565 91.8591
0.274498 92.0276 0.26384 92.1775
0.261562 92.3741 0.251909 92.6752
0.24994 92.6889 0.245063 92.8244
0.239042 93.0321 0.238658 93.0235
0.229196 93.3302 0.222266 93.4614
0.21962 93.6001 0.214132 93.6704
0.210717 93.7966 0.209403 93.9391
0.202192 94.0765 0.19918 94.1979
0.194653 94.2147 0.195048 94.2377
0.18716 94.5079 0.186681 94.5959
0.18014 94.6745 0.180558 94.6656
0.173703 94.8927 0.17706 94.8049
0.167992 95.0476 0.170772 94.8746
0.162242 95.2425 0.165051 95.1533
0.156601 95.3541 0.161498 95.1831
0.151769 95.5274 0.158563 95.2926
0.146819 95.6323 0.154254 95.4319
0.141924 95.8206 0.151299 95.5912
0.137713 95.8972 0.147484 95.5215
0.133093 96.0838 0.142168 95.7703
0.129257 96.2137 0.13997 95.8101
0.125591 96.3086 0.136943 95.9793
0.121443 96.4103 0.133681 96.0589
0.117555 96.5202 0.134281 95.9494
0.114629 96.5835 0.127366 96.2679
0.111167 96.7284 0.125718 96.3873
0.108045 96.7817 0.122631 96.4172
0.104565 96.9216 0.120408 96.3475
0.102037 96.9766 0.118052 96.4869
0.0992059 97.0799 0.11869 96.5167
0.096484 97.1015 0.115315 96.6162
0.0940012 97.2115 0.113101 96.666
0.091421 97.2931 0.11259 96.7058
0.0888977 97.3298 0.109919 96.7357
0.0864733 97.4497 0.109132 96.8252
0.0843083 97.478 0.106137 96.865
0.0821196 97.5813 0.103977 96.7954
0.0799114 97.6329 0.103231 96.7954
0.078171 97.6679 0.101226 96.9745
0.0763944 97.7046 0.110926 96.6959
0.0743762 97.7445 0.103715 97.0044
0.0725393 97.8945 0.104018 96.9745
0.0704327 97.9028 0.100609 96.9447
0.069075 97.9594 0.100053 96.885
0.0679163 98.0227 0.0999841 97.0044
0.0655969 98.0877 0.100363 97.0143
0.0642141 98.106 0.097748 97.1537
0.0629659 98.1493 0.0964964 96.9347
0.0614388 98.2026 0.0945149 97.2333
0.0595716 98.2709 0.097768 96.9845
0.0583795 98.2493 0.0960087 97.0044
0.0566991 98.3525 0.0944411 97.1736
0.0555153 98.4075 0.0964628 97.094
0.0540049 98.4375 0.0923598 97.2134
0.0527653 98.4658 0.0934698 97.2333
0.0516905 98.5225 0.0912514 97.2134
0.0506102 98.5274 0.0915572 97.283
0.0494928 98.6091 0.0911012 97.3129
0.0480954 98.6341 0.0915504 97.2532
0.047264 98.6357 0.0915332 97.2333
0.0459946 98.6757 0.0884249 97.3229
0.0446689 98.714 0.08929 97.3229
0.044032 98.754 0.0883442 97.283
0.0427219 98.7757 0.0874585 97.4522
0.0417283 98.834 0.0916328 97.3428
0.0409524 98.8356 0.0891284 97.3428
0.0397525 98.8756 0.0890417 97.3726
0.0388874 98.9056 0.0874184 97.3826
0.0377813 98.9322 0.0895602 97.3726
0.0370827 98.9356 0.0886531 97.3726
0.0362836 98.9622 0.0895303 97.4224
0.0349763 99.0305 0.0875862 97.4821
0.0342304 99.0822 0.0862232 97.4622
0.033515 99.0705 0.089653 97.3428
0.0323011 99.1305 0.0887423 97.4522
0.0317869 99.0972 0.0887587 97.492
0.0312506 99.1155 0.0883263 97.4224
0.0299113 99.2038 0.0906031 97.4522
0.0295276 99.1971 0.0869849 97.5518
0.0286496 99.2271 0.0883111 97.5518
0.0283431 99.2571 0.0860947 97.5816
0.027109 99.2904 0.0877673 97.5617
0.0263389 99.3204 0.088558 97.6115
0.02591 99.3254 0.0888717 97.5318
0.0250104 99.3503 0.0881032 97.6115
0.0244238 99.382 0.0881214 97.5518
0.0236331 99.407 0.0870076 97.5318
0.0229873 99.4203 0.0880667 97.6314
0.022307 99.432 0.0872574 97.6015
0.0220962 99.4669 0.0877222 97.6115
0.0211658 99.4686 0.0911145 97.4821
