TrainLoss TrainAccuracy TestLoss TestAccuracy
3.35864 27.8635 2.34533 32.7826
2.01516 37.8665 1.78122 39.789
1.60147 44.0715 1.4538 47.9001
1.2703 57.7492 1.12515 62.1716
0.938352 66.5012 0.79791 74.3232
0.71881 77.9085 0.679819 80.2846
0.638944 81.5182 0.61391 82.7229
0.58339 83.4572 0.566467 84.365
0.538291 85.058 0.52665 85.9574
0.501343 86.194 0.492212 86.8133
0.470503 87.1185 0.466805 87.8881
0.444671 87.8581 0.442486 88.2166
0.422342 88.6011 0.425438 88.8834
0.403264 89.0942 0.409899 89.4108
0.38653 89.5706 0.394909 89.7492
0.371675 89.9937 0.382209 90.1473
0.358999 90.3585 0.370865 90.406
0.347524 90.6716 0.360277 90.7146
0.337104 90.9565 0.355368 90.7643
0.327703 91.2247 0.346743 91.0729
0.319579 91.4762 0.340142 91.3515
0.311286 91.6628 0.333004 91.5506
0.304291 91.8877 0.3283 91.5107
0.297841 92.0509 0.323844 91.7098
0.291517 92.1625 0.316343 91.8292
0.28611 92.2841 0.314077 91.9387
0.280916 92.419 0.308663 92.0979
0.275962 92.589 0.30245 92.2174
0.271344 92.7139 0.301854 91.9785
0.267302 92.8538 0.297277 92.2771
0.2632 92.9054 0.292812 92.3169
0.259443 93.057 0.291007 92.4264
0.255516 93.1303 0.284984 92.5557
0.252075 93.212 0.285076 92.4463
0.248812 93.2519 0.280867 92.6553
0.245614 93.3919 0.281261 92.6254
0.24301 93.4685 0.277101 92.715
0.240007 93.5484 0.273042 92.8941
0.237075 93.5984 0.272841 92.705
0.2344 93.755 0.274719 92.7448
0.231782 93.7667 0.271993 92.715
0.229559 93.8333 0.268518 92.7846
0.226893 93.8949 0.264409 93.0036
0.225014 93.9482 0.267751 92.9439
0.222768 93.9732 0.262457 93.0235
0.220471 94.0698 0.259298 93.1031
0.218458 94.1531 0.258379 93.1429
0.216575 94.1831 0.259265 93.1131
0.214335 94.2514 0.258842 93.0036
0.212671 94.2531 0.254515 93.2822
0.21063 94.3147 0.254488 93.2424
0.208939 94.3847 0.252403 93.3221
0.207112 94.4513 0.251176 93.3121
0.205291 94.5013 0.248092 93.4614
0.203737 94.5529 0.251437 93.4017
0.202182 94.5812 0.24791 93.5211
0.200563 94.6579 0.250205 93.5211
0.198886 94.7045 0.245844 93.5609
0.197384 94.7261 0.246574 93.4912
0.19587 94.7428 0.245044 93.7002
0.194513 94.7778 0.245154 93.6505
0.193056 94.8494 0.243723 93.6505
0.191741 94.8744 0.240508 93.6803
0.190173 94.8894 0.240079 93.8097
0.18904 94.941 0.241701 93.7301
0.187845 95.0393 0.240662 93.7699
0.186558 94.9627 0.237982 93.75
0.1852 95.1076 0.236822 93.8694
0.183708 95.0826 0.239333 93.7998
0.182698 95.1009 0.23837 93.8595
0.18154 95.1709 0.236264 93.9291
0.180394 95.1642 0.234694 93.8893
0.178864 95.1876 0.242765 93.7998
0.1779 95.2026 0.235837 93.7201
0.176715 95.3158 0.233341 93.949
0.175848 95.3025 0.234507 93.9391
0.174578 95.3475 0.232534 93.949
0.173257 95.3608 0.232418 94.0088
0.172329 95.3525 0.232966 93.949
0.171423 95.3925 0.232692 93.9789
0.170306 95.4591 0.231342 94.0386
0.169449 95.4274 0.230685 94.0685
0.168712 95.4907 0.231163 94.0884
0.167316 95.5141 0.228366 94.1282
0.166479 95.5507 0.231191 94.0983
0.165646 95.579 0.229369 94.1979
0.164529 95.5774 0.231276 93.9889
0.163623 95.639 0.227375 94.1282
0.163265 95.6307 0.229827 94.2078
0.16192 95.639 0.227186 94.1381
0.161415 95.6706 0.227093 94.2675
0.160616 95.674 0.226472 94.1779
0.159227 95.7273 0.226891 94.1182
0.158408 95.7456 0.223824 94.1779
0.157645 95.7489 0.229587 93.9889
0.156558 95.7872 0.22651 94.2277
0.156278 95.8139 0.22505 94.1879
0.155167 95.8189 0.225569 94.2675
0.154348 95.8172 0.223561 94.2576
0.153655 95.8655 0.225459 94.2377
0.152662 95.8989 0.224074 94.2874
0.152128 95.8689 0.222666 94.3173
0.151118 95.9355 0.222818 94.2874
0.150365 95.9538 0.226203 94.1779
0.149611 96.0255 0.225133 94.2377
0.149446 96.0038 0.226909 94.2775
0.14854 96.0155 0.22244 94.3471
0.147695 96.0321 0.222839 94.367
0.147014 96.0304 0.225786 94.3272
0.146206 96.0721 0.223922 94.2974
0.145478 96.1071 0.221873 94.4367
0.145091 96.0854 0.223152 94.3869
0.144641 96.1321 0.224141 94.3173
0.143411 96.1421 0.221182 94.5561
0.142866 96.1737 0.221137 94.3471
0.14212 96.1737 0.221281 94.4068
0.141464 96.1954 0.219364 94.4865
0.14077 96.2503 0.223549 94.3471
0.140068 96.2487 0.222119 94.4168
0.139369 96.2886 0.222119 94.4467
0.138874 96.2837 0.2224 94.4666
0.138133 96.287 0.220323 94.3969
0.137384 96.2903 0.219931 94.4964
0.137028 96.297 0.22002 94.5263
0.136216 96.3436 0.22201 94.3571
0.135771 96.3503 0.220613 94.4367
0.135224 96.3419 0.221288 94.4367
