TrainLoss TrainAccuracy TestLoss TestAccuracy
12.7903 9.03685 12.3893 8.9371
11.995 9.03851 11.618 8.96696
11.2429 9.03518 10.9 8.87739
10.5581 9.03518 10.2485 8.9371
9.9427 9.03352 9.65937 8.90725
9.36815 9.03352 9.09667 8.90725
8.82263 9.03685 8.5784 8.9371
8.33193 9.03352 8.10314 8.9371
7.8932 9.03352 7.68622 8.90725
7.4771 9.03352 7.27869 8.87739
7.05634 9.03851 6.84127 8.99682
6.62965 9.03685 6.41468 8.87739
6.1967 9.03685 5.98369 8.9371
5.76365 9.03851 5.5558 8.90725
5.33035 9.03185 5.11387 8.9371
4.89923 9.03352 4.68539 8.87739
4.47794 9.04184 4.27072 8.90725
4.07772 9.03185 3.88821 8.87739
3.71425 9.03185 3.5475 8.90725
3.40354 9.03352 3.25897 8.90725
3.14225 9.03518 3.0225 8.90725
2.92029 9.03685 2.81851 8.87739
2.72993 9.03851 2.64355 8.99682
2.57378 9.03352 2.50962 8.87739
2.45902 9.03518 2.41588 8.90725
2.3829 9.03518 2.35649 8.9371
2.33744 9.5066 2.32373 10.2309
2.31417 10.4411 2.30797 10.3802
2.30459 10.3412 2.30246 10.3205
2.3018 10.5993 2.3013 11.3256
2.3013 11.239 2.30108 11.3256
2.30123 11.2373 2.30111 11.3256
2.30122 11.2407 2.30116 11.3256
2.30122 11.2457 2.30103 11.3555
2.30123 11.2373 2.30102 11.3555
2.30123 11.239 2.30107 11.2958
2.30124 11.2357 2.30105 11.3854
2.30125 11.234 2.30114 11.2958
2.30123 11.2373 2.30099 11.3555
2.30124 11.234 2.30096 11.4152
2.30124 11.2373 2.30108 11.2958
2.30124 11.2373 2.30115 11.2958
2.30122 11.2373 2.30111 11.2958
2.30124 11.239 2.30106 11.3256
2.30124 11.234 2.30107 11.3256
2.30123 11.2407 2.30106 11.3555
2.30122 11.234 2.30113 11.3256
2.30126 11.234 2.3011 11.2958
2.30124 11.2407 2.30098 11.3854
2.30123 11.2457 2.30098 11.3555
