TrainLoss TrainAccuracy TestLoss TestAccuracy
2.30861 9.73647 2.30574 9.8328
2.30373 10.3262 2.30275 11.3854
2.30201 11.239 2.30163 11.4152
2.30145 11.2373 2.30122 11.3555
2.30128 11.2323 2.30117 11.3256
2.30122 11.239 2.30115 11.3256
2.30121 11.234 2.30101 11.3555
2.3012 11.2407 2.30101 11.3256
2.3012 11.239 2.30106 11.3854
2.3012 11.2357 2.30097 11.3555
2.30119 11.239 2.30104 11.2958
2.3012 11.2357 2.30087 11.4451
2.3012 11.239 2.30108 11.3555
2.3012 11.2407 2.3011 11.2958
2.30119 11.239 2.30106 11.3256
2.3012 11.239 2.30101 11.3256
2.3012 11.239 2.30109 11.3256
2.30119 11.2457 2.30098 11.3854
2.3012 11.2373 2.30098 11.3555
2.30121 11.234 2.30098 11.3256
2.30119 11.2407 2.30098 11.3854
2.30121 11.2357 2.30106 11.3555
