TrainLoss TrainAccuracy TestLoss TestAccuracy
2.10424 18.2303 1.92549 23.1588
1.86378 24.2721 1.80644 26.2341
1.78013 27.1838 1.74671 28.752
1.72729 29.8874 1.70002 30.7524
1.68584 31.8097 1.66221 34.0466
1.6499 34.1051 1.62712 35.9076
1.61412 35.8625 1.58887 37.5995
1.57595 37.6583 1.55133 38.8734
1.53969 39.4406 1.51702 41.8989
1.50819 40.7083 1.48832 41.1027
1.48061 42.2874 1.46229 43.3221
1.4551 43.9266 1.43702 45.9992
1.42972 46.1187 1.41071 47.2333
1.40323 47.553 1.38336 48.7858
1.3788 48.9522 1.36123 50.408
1.35763 49.8601 1.34542 50
1.33885 50.8912 1.32465 51.8113
1.32226 51.336 1.30735 50.6768
1.30751 51.849 1.29428 53.7818
1.29421 52.457 1.28375 53.7918
1.28226 52.9551 1.27175 54.0008
1.2711 53.4348 1.26031 55.2448
1.26048 53.8979 1.2514 54.5581
1.25094 54.4626 1.24438 55.3742
1.24151 54.8541 1.23636 56.0211
1.23297 55.4987 1.22699 56.031
1.22509 55.7469 1.21963 55.5533
1.21729 56.185 1.21569 56.8073
1.21023 56.7031 1.21029 55.832
1.20356 56.808 1.20031 58.1708
1.19676 57.4277 1.19662 58.1608
1.19038 57.6626 1.18982 59.2058
1.18437 58.0041 1.18799 57.713
1.1785 58.3089 1.17918 58.748
1.1728 58.9735 1.17481 57.4542
1.16713 59.2051 1.17055 58.8674
1.16207 59.4183 1.16395 59.4944
1.1573 59.7581 1.16948 58.3798
1.15277 59.9997 1.15631 60.7385
1.14768 60.3978 1.15286 62.1019
1.14296 60.7659 1.14665 61.0868
1.13883 61.0225 1.14392 62.1517
1.13416 61.3073 1.14035 62.2114
1.12998 61.6088 1.14054 63.545
1.12607 62.2351 1.13816 60.4896
1.12194 62.1702 1.13385 63.8137
1.118 62.5883 1.12683 61.9825
1.1137 62.8148 1.13058 62.3706
1.11029 62.7449 1.12353 63.4952
1.10656 63.3512 1.11797 62.709
1.10318 63.5678 1.11936 62.9279
1.09936 63.8859 1.11397 62.8483
1.09598 64.0059 1.11129 63.5549
1.09271 64.3557 1.1095 64.1322
1.08969 64.344 1.10477 65.1174
1.08608 64.7072 1.10178 66.451
1.08312 65.0853 1.09948 63.3957
