TrainLoss TrainAccuracy TestLoss TestAccuracy
1.93157 24.4786 1.62129 35.2906
1.51246 39.319 1.39577 43.7998
1.33045 47.6113 1.25528 49.6517
1.21901 54.0062 1.16263 57.2452
1.13009 59.5149 1.07801 62.092
1.05238 63.143 1.00652 65.0577
0.985951 65.8665 0.949418 67.5358
0.92878 68.4069 0.898007 69.785
0.879956 70.5707 0.852752 71.7954
0.836284 72.7845 0.817077 73.7659
0.79699 74.7901 0.780301 76.2838
0.762464 76.5742 0.754446 77.0701
0.731951 77.9651 0.723329 78.4833
0.704229 79.1678 0.700171 80.2249
0.679873 80.3222 0.682405 81.0211
0.65832 81.245 0.659622 81.5585
0.638398 82.0462 0.643817 82.2751
0.620828 82.7992 0.628978 82.6831
0.603714 83.5021 0.611334 83.3599
0.588482 84.0735 0.597658 84.0565
0.573767 84.5199 0.58314 84.7034
0.560682 85.0463 0.571002 85.1612
0.54845 85.3561 0.560477 85.3503
0.53634 85.8892 0.549882 85.7982
0.525216 86.1874 0.540041 86.2261
0.514505 86.5155 0.533368 86.5147
0.504857 86.8587 0.523957 86.8631
0.494979 87.1885 0.514396 86.9029
0.486485 87.4683 0.508237 87.2313
0.478399 87.6383 0.496181 87.8384
0.470253 87.9314 0.493097 87.6393
0.463014 88.128 0.484998 88.1568
0.455011 88.4795 0.477474 88.117
0.448292 88.5794 0.470208 88.5151
0.441519 88.8293 0.467853 88.545
0.435698 89.0009 0.460311 88.9132
0.429342 89.1658 0.454674 88.9829
0.423671 89.4323 0.453929 88.9331
0.417697 89.5056 0.445648 89.1919
0.412035 89.6805 0.441238 89.3312
0.407039 89.8188 0.436614 89.381
0.402532 89.9837 0.432961 89.6298
0.397456 90.0686 0.429558 89.5701
0.393361 90.1769 0.428876 89.8885
0.388242 90.3535 0.421219 89.9184
0.384752 90.4568 0.41956 89.9482
0.380254 90.59 0.418326 89.8189
0.37664 90.6483 0.413606 90.1174
0.37292 90.7716 0.410127 90.3165
0.369078 90.8649 0.40641 90.3364
0.366197 90.9798 0.40398 90.3762
0.36229 91.0215 0.402403 90.2568
0.358829 91.1697 0.401608 90.406
0.355325 91.248 0.401958 90.3861
0.352643 91.2996 0.399746 90.2568
0.349089 91.3929 0.397949 90.5653
0.346038 91.5378 0.390323 90.6449
0.343695 91.5945 0.388624 90.615
0.340451 91.6411 0.387513 90.5852
0.337677 91.7294 0.38691 90.5951
0.335104 91.7827 0.387406 90.9534
0.332328 91.8427 0.382693 90.8141
0.329947 91.9393 0.38067 90.8838
0.327409 92.0209 0.377263 91.0928
0.324656 92.0126 0.375983 91.0828
0.322194 92.1342 0.375967 91.1525
0.320136 92.2042 0.37394 91.0928
0.317515 92.1692 0.373312 91.0629
0.315157 92.2425 0.374601 91.0729
0.313312 92.3324 0.368218 91.3217
0.3111 92.3091 0.374591 91.2022
0.308528 92.449 0.371654 91.043
0.306779 92.484 0.367074 91.4908
0.303989 92.5123 0.366396 91.5107
0.302827 92.5573 0.368604 91.3316
0.30043 92.6389 0.361983 91.6401
0.298319 92.6689 0.363605 91.3615
0.297383 92.7305 0.360671 91.5804
0.294566 92.7605 0.361218 91.6103
0.29311 92.7672 0.358974 91.7396
0.29124 92.8621 0.356347 91.7894
0.289075 92.8921 0.359657 91.7496
0.287427 92.9488 0.361769 91.7994
0.285501 93.0337 0.356272 91.66
0.283562 93.0071 0.355965 91.9685
0.281848 93.0537 0.35288 91.7596
0.280095 93.092 0.354483 91.8392
0.278503 93.1736 0.357777 91.7098
0.277297 93.197 0.348961 91.8591
0.275251 93.187 0.349526 91.9387
0.273798 93.2536 0.3491 91.879
0.272113 93.3252 0.353345 91.8889
0.27001 93.3835 0.348183 92.1576
0.269177 93.4052 0.349033 91.7994
0.267406 93.4268 0.34849 91.9387
0.266326 93.3885 0.347966 91.8292
0.264106 93.4685 0.348704 92.0482
0.262724 93.5101 0.349517 92.078
0.26071 93.5834 0.350483 92.1477
0.259732 93.5868 0.350643 92.0382
0.258438 93.6601 0.344404 92.1576
0.257284 93.6267 0.352453 91.6501
0.25574 93.7433 0.346347 92.1178
0.254423 93.7233 0.346716 91.9885
0.252787 93.7833 0.350253 91.9486
0.252075 93.7667 0.340839 92.1278
0.250544 93.8633 0.345074 92.1576
0.249062 93.8416 0.349021 92.0482
0.247722 93.8599 0.34689 92.1079
0.246278 93.9199 0.342903 92.2174
0.245335 93.8733 0.351221 92.0183
0.242936 93.9815 0.344641 92.1975
0.242758 93.9849 0.341749 92.2572
0.240969 93.9932 0.341382 92.2572
0.239982 94.0782 0.346317 92.0979
0.238659 94.0965 0.344179 92.2174
