TrainLoss TrainAccuracy TestLoss TestAccuracy
0.191283 93.9749 0.121416 96.3077
0.0727453 98.141 0.104747 96.7954
0.0607756 98.4475 0.0972855 97.0044
0.0538854 98.6091 0.0963407 96.865
0.0496577 98.719 0.0904642 97.1039
0.0461351 98.804 0.0880897 97.1139
0.043311 98.9073 0.0875731 97.1636
0.041215 98.9406 0.0871629 97.2134
0.0391555 98.9739 0.0863636 97.1835
0.037363 99.0588 0.085569 97.3129
0.0361409 99.0405 0.0845763 97.2731
0.0346968 99.1171 0.0844016 97.2731
0.033561 99.1221 0.0859668 97.283
0.0321271 99.1921 0.0819343 97.4522
0.0311692 99.2254 0.0856339 97.2432
0.0300716 99.2521 0.0835089 97.3328
0.0293066 99.2571 0.0843439 97.3627
0.0283275 99.2887 0.081723 97.4224
0.0274995 99.322 0.0833515 97.3925
0.0267438 99.362 0.0817945 97.3925
0.0259901 99.382 0.0832523 97.4323
0.0253003 99.4036 0.082954 97.4323
0.0245831 99.4053 0.0836667 97.3527
0.0239021 99.4386 0.0829486 97.4821
0.0231328 99.4703 0.082401 97.4323
0.02249 99.4736 0.0826925 97.4622
0.0217977 99.4753 0.0824011 97.502
0.0215043 99.5003 0.0856415 97.3627
