TrainLoss TrainAccuracy TestLoss TestAccuracy
1.14369 61.7254 0.6205 80.2349
0.518761 83.9269 0.428643 87.2611
0.388176 88.5744 0.351184 89.7393
0.336787 90.1303 0.320465 90.834
0.310027 90.9798 0.298926 91.0729
0.289892 91.5795 0.276983 91.8889
0.270251 92.1159 0.257906 92.3268
0.252223 92.5023 0.24089 92.8742
0.234898 93.037 0.230357 93.2822
0.219344 93.5351 0.210313 93.9092
0.203786 93.9965 0.203029 94.0287
0.190427 94.3763 0.192438 94.3571
0.177818 94.7878 0.178792 94.7651
0.166166 95.1393 0.17126 94.9642
0.15558 95.4024 0.158671 95.1632
0.14626 95.7989 0.149168 95.631
0.137802 95.9255 0.142236 95.6907
0.129894 96.167 0.135474 95.9196
0.122511 96.4352 0.135798 95.8897
0.115567 96.6151 0.128247 96.1087
0.110019 96.84 0.119498 96.3674
0.104188 96.9316 0.115835 96.5068
0.0989502 97.0915 0.113719 96.3177
0.0943059 97.2465 0.111762 96.5764
0.0889999 97.3464 0.112692 96.5366
0.0849347 97.4697 0.107799 96.666
0.0814821 97.5813 0.109735 96.7158
0.0780611 97.7079 0.103759 96.8451
0.0745609 97.7395 0.101704 96.9745
0.0704819 97.8795 0.0996525 96.8949
0.0676744 97.9694 0.0979055 97.084
0.0648901 98.0594 0.0990378 96.9546
0.0624675 98.066 0.0981121 97.0044
0.059175 98.2293 0.090643 97.2333
0.0566953 98.2909 0.09578 97.0641
0.0548834 98.3675 0.0933814 97.2134
0.0515831 98.4392 0.0902582 97.2631
0.0498159 98.4975 0.0880451 97.3129
0.0476234 98.5641 0.0924398 97.3029
0.0456481 98.6624 0.0888416 97.3826
0.0437674 98.6907 0.090968 97.3328
0.0419109 98.7723 0.0860768 97.5219
0.0401227 98.814 0.089118 97.3726
0.0385192 98.8523 0.0887836 97.3726
0.0367746 98.9322 0.0911524 97.3627
0.0342028 99.0322 0.0894823 97.2731
0.0333813 99.0205 0.0888404 97.4124
0.0318019 99.0755 0.0870183 97.4224
0.0303851 99.1405 0.087261 97.4224
0.0289066 99.1721 0.0889973 97.3826
0.0275257 99.2254 0.0873812 97.4721
0.0265546 99.2687 0.0921244 97.4423
