TrainLoss TrainAccuracy TestLoss TestAccuracy
0.302238 91.6128 0.188029 95.0438
0.133867 96.6601 0.143538 96.0291
0.101262 97.458 0.123954 96.4968
0.0841364 97.8811 0.112165 96.7854
0.0734471 98.1193 0.108218 96.8252
0.0658753 98.2876 0.102499 97.074
0.060338 98.4158 0.102579 96.9845
0.0560488 98.5374 0.0971014 97.0641
0.0524567 98.5858 0.0941579 97.4124
0.0492808 98.689 0.0947018 97.2432
0.0469369 98.7457 0.0920782 97.3428
0.0445623 98.7973 0.0909715 97.2233
0.0427275 98.8573 0.0898629 97.3826
0.0408797 98.9472 0.0895201 97.4124
0.0393329 98.9772 0.0887099 97.3826
0.0377318 99.0272 0.0893968 97.3826
0.0364929 99.0372 0.0898383 97.3527
0.0351056 99.0921 0.0876122 97.4622
0.033972 99.1188 0.0876435 97.4423
0.0327837 99.1621 0.0889104 97.3826
0.03172 99.2204 0.087204 97.3925
0.0306468 99.2421 0.0870974 97.4423
0.0299397 99.2571 0.0864076 97.4224
0.0291511 99.292 0.0895453 97.2631
0.0283051 99.2954 0.0862389 97.3726
0.0273989 99.337 0.0892876 97.293
0.0266731 99.3503 0.0885165 97.3229
0.0259113 99.3737 0.0865101 97.3826
0.0251412 99.4153 0.0873526 97.4224
0.0247301 99.4136 0.0865152 97.4323
0.0238419 99.4536 0.0868577 97.4721
0.0232247 99.4603 0.0857002 97.5119
0.0226229 99.4836 0.0865151 97.3826
0.0220706 99.5086 0.0880726 97.4025
0.0215347 99.5119 0.0892485 97.502
0.0211978 99.5069 0.0871892 97.4323
0.0204346 99.5619 0.0869627 97.4025
0.0199749 99.5802 0.0863855 97.4522
0.0196616 99.5702 0.0898207 97.4124
0.0189349 99.6002 0.0886956 97.4423
0.0185807 99.6152 0.0896942 97.3527
0.018176 99.6185 0.0883038 97.4622
