TrainLoss TrainAccuracy TestLoss TestAccuracy
0.254534 93.052 0.156663 95.8798
0.113727 97.0432 0.124677 96.4172
0.0911765 97.548 0.112933 96.6959
0.0798892 97.7945 0.108043 96.8551
0.0723699 97.9844 0.101915 96.9546
0.0662265 98.191 0.100799 96.8451
0.0619973 98.2376 0.0963345 97.2333
0.0584291 98.3775 0.0955392 97.3527
0.0546578 98.5075 0.0945859 97.1935
0.0516023 98.5274 0.094326 97.293
0.0488488 98.6057 0.0907534 97.2532
0.0471366 98.6424 0.0936147 97.2034
0.0443435 98.7623 0.0904811 97.3726
0.0420727 98.814 0.0886842 97.3129
0.0403319 98.8673 0.0908839 97.3428
0.0389451 98.9106 0.0845361 97.492
0.0369676 98.9572 0.0846782 97.5717
0.03551 98.9989 0.0912762 97.3627
0.0339024 99.0288 0.0861055 97.5318
0.0320975 99.1305 0.0835703 97.5119
0.0310613 99.1704 0.0890666 97.4124
0.0295768 99.1988 0.0862604 97.5617
0.028814 99.2321 0.0874891 97.4821
0.0276853 99.2088 0.0874507 97.6115
0.0259007 99.3137 0.0890499 97.5119
0.025156 99.3304 0.0870341 97.6513
0.0236013 99.3637 0.0869265 97.5219
0.0231481 99.3887 0.0877291 97.5816
0.0218924 99.4636 0.0903536 97.5119
0.0212372 99.4753 0.0864904 97.6214
