TrainLoss TrainAccuracy TestLoss TestAccuracy
3.57744 43.4235 2.65717 48.9451
2.18492 58.1856 1.88687 65.625
1.65138 66.936 1.45834 67.8344
1.24606 69.0115 1.08532 69.9244
0.902069 71.8567 0.771544 72.7707
0.691375 78.4565 0.667411 80.9912
0.635382 81.6648 0.631433 82.2552
0.608637 82.9974 0.614023 83.5092
0.587431 84.0818 0.595022 83.8973
0.569169 84.9614 0.577025 85.1015
0.553363 85.651 0.562871 85.7285
0.539118 86.204 0.563307 86.3854
0.526443 86.6005 0.543307 86.9228
0.515075 87.0669 0.533775 87.0024
0.504323 87.4367 0.52 87.4303
0.49441 87.7315 0.515311 87.7389
0.485676 88.063 0.507792 88.1071
0.477533 88.2179 0.499535 88.326
0.46982 88.4778 0.493063 88.1668
0.462728 88.7127 0.486323 88.6545
0.455822 88.8226 0.479147 88.5848
0.449776 89.0358 0.476913 88.8834
0.44315 89.2041 0.474519 88.7838
0.437696 89.354 0.466673 89.0924
0.432669 89.4856 0.460665 89.0725
0.427308 89.6505 0.457542 89.1322
0.422865 89.7571 0.451505 89.371
0.417907 89.8871 0.448104 89.4904
0.413377 89.947 0.44606 89.3312
0.409235 90.0253 0.442214 89.5502
0.405525 90.1786 0.438544 89.7393
0.401187 90.2552 0.433611 89.9781
0.397472 90.2952 0.438063 89.789
0.393754 90.3785 0.429351 90.0179
0.390872 90.4568 0.428143 89.9184
0.387227 90.565 0.426558 89.9582
0.383822 90.6133 0.421937 90.1572
0.380383 90.7283 0.422731 89.998
0.377114 90.72 0.418538 90.1971
0.374124 90.8482 0.414955 90.3762
0.371204 90.9765 0.417422 90.2369
0.368719 90.9415 0.410431 90.3264
0.365743 90.9898 0.407929 90.4757
0.363529 91.0814 0.406229 90.4658
0.360442 91.1481 0.405557 90.416
0.358066 91.1947 0.405626 90.3762
0.355979 91.2697 0.400173 90.6449
0.353369 91.3113 0.403032 90.5354
0.351291 91.4246 0.396741 90.7345
0.348977 91.4262 0.396038 90.625
0.346842 91.4862 0.396713 90.5653
0.344275 91.5478 0.395935 90.5852
0.342607 91.5962 0.391824 90.824
0.340434 91.6944 0.390415 90.6847
0.338194 91.6944 0.390226 90.7643
0.337088 91.7444 0.386719 90.834
0.335053 91.7477 0.387099 91.0231
0.332865 91.9077 0.388481 90.7444
0.330843 91.9226 0.385046 90.7643
0.328994 91.936 0.384035 90.8738
0.327561 91.9676 0.383828 90.9037
0.325852 91.9693 0.382692 90.7643
0.324066 92.0509 0.378673 90.9037
0.322641 92.0826 0.379494 91.033
0.320786 92.1042 0.377838 90.9833
0.319376 92.2042 0.376883 90.9932
0.317901 92.2142 0.384529 91.0629
0.316415 92.2608 0.375536 91.1525
0.315138 92.2675 0.374226 91.242
0.313345 92.3741 0.373686 91.242
0.311854 92.3474 0.371002 91.2122
0.310708 92.3891 0.371974 91.2221
0.309245 92.4707 0.374564 91.2818
0.308014 92.4657 0.374298 91.2321
0.306518 92.474 0.370614 91.1724
0.305578 92.509 0.368315 91.2321
0.304063 92.584 0.369791 91.2619
0.303358 92.569 0.368132 91.3117
0.30179 92.5906 0.369055 91.3615
0.301092 92.6539 0.36582 91.3714
0.299371 92.7006 0.367651 91.451
0.297991 92.7206 0.374757 91.451
0.29709 92.7155 0.363743 91.451
0.295942 92.7472 0.365066 91.3615
0.294829 92.7639 0.363894 91.451
0.293727 92.8388 0.365334 91.4311
0.292686 92.8671 0.363202 91.5804
0.291889 92.9088 0.360142 91.6401
0.291178 92.8421 0.364252 91.4411
0.289564 92.8805 0.360569 91.5804
0.288439 92.9221 0.359091 91.5904
0.287345 92.9971 0.361412 91.4709
0.286663 92.9937 0.35737 91.7894
0.285989 92.9554 0.360581 91.6501
0.284781 92.9887 0.359263 91.5207
0.283962 93.0754 0.355884 91.67
0.282282 93.0954 0.355748 91.6799
0.28195 93.047 0.361557 91.6202
0.280812 93.1403 0.357494 91.7297
0.280256 93.1103 0.35634 91.7894
0.278968 93.1053 0.355924 91.7795
0.278399 93.182 0.35604 91.8093
0.277609 93.187 0.354803 91.7894
0.276642 93.2086 0.354479 91.7994
0.275602 93.2569 0.353247 91.8292
0.274969 93.2753 0.357704 91.7396
0.274262 93.2703 0.354049 91.9188
0.273398 93.2719 0.352684 91.8889
0.272372 93.3186 0.355024 91.7596
0.272047 93.3469 0.357074 91.8392
0.270529 93.4135 0.353228 91.8093
0.270226 93.3752 0.354315 91.8989
0.269269 93.3302 0.352853 91.9088
0.26887 93.3719 0.351594 92.0183
0.267877 93.4335 0.350198 91.9685
0.266787 93.4685 0.351616 91.8392
0.266315 93.4035 0.350473 92.0183
0.265395 93.4418 0.352349 91.9287
0.264487 93.4818 0.3524 91.8292
0.263575 93.5251 0.349792 91.9088
0.263408 93.5418 0.350421 91.9984
0.262445 93.5185 0.349601 91.9287
0.261727 93.5784 0.352074 92.0183
0.26108 93.5468 0.348384 92.1278
0.260403 93.5634 0.351032 91.9088
0.259584 93.6001 0.348071 92.0482
0.259061 93.6167 0.348781 92.0482
0.258215 93.6984 0.351411 91.869
0.25763 93.6501 0.353132 91.9586
0.257116 93.6667 0.346139 92.0581
0.256407 93.7067 0.347718 91.9984
0.255057 93.7034 0.349704 91.9287
0.255136 93.7317 0.347844 92.0581
0.254144 93.765 0.346995 92.0183
0.25369 93.6967 0.348478 92.0183
0.253081 93.7417 0.3501 92.0084
0.252415 93.7267 0.346748 92.0979
0.251571 93.8116 0.346903 92.1477
0.251068 93.8416 0.346803 92.088
0.250471 93.8566 0.347881 91.9486
