TrainLoss TrainAccuracy TestLoss TestAccuracy
0.0584418 98.3292 0.0914126 97.0342
0.0494877 98.5791 0.0898787 97.1935
0.0454976 98.7157 0.0913485 97.293
0.0426969 98.7507 0.0876161 97.3527
0.0402649 98.8489 0.0840928 97.4423
0.0382373 98.9372 0.0877635 97.5518
0.0368188 98.9106 0.0835071 97.5318
0.0348845 98.9905 0.0833547 97.4821
0.0330268 99.0538 0.0849655 97.4423
0.031206 99.1288 0.0847889 97.492
0.0299626 99.1621 0.0839821 97.492
0.0283969 99.1854 0.0831944 97.6214
0.0269593 99.292 0.0840347 97.502
0.0256823 99.2954 0.0925096 97.4721
0.0242734 99.347 0.0834382 97.6513
0.0235942 99.357 0.0859478 97.5518
0.0221206 99.4053 0.084157 97.6513
0.0211185 99.4303 0.0877815 97.5717
0.0200651 99.4936 0.0890838 97.5418
0.0186598 99.5219 0.0905062 97.5119
0.018373 99.5353 0.0884934 97.5418
0.0175214 99.5353 0.0864773 97.6413
