TrainLoss TrainAccuracy TestLoss TestAccuracy
2.30124 11.2323 2.30099 11.3555
2.30124 11.2373 2.30097 11.2958
2.30124 11.2323 2.30106 11.3256
2.30124 11.239 2.30101 11.3555
2.30124 11.2357 2.30109 11.3256
2.30124 11.239 2.30101 11.3854
2.30122 11.2357 2.30108 11.2958
2.30124 11.234 2.30095 11.3555
2.30124 11.2357 2.30113 11.2958
2.30123 11.239 2.30085 11.4451
2.30123 11.2423 2.30108 11.3256
2.30125 11.234 2.301 11.3854
2.30123 11.2407 2.30098 11.3555
2.30123 11.2373 2.30109 11.2958
2.30124 11.2323 2.30098 11.3854
2.30123 11.239 2.30108 11.3555
2.30124 11.2357 2.30116 11.2958
2.30124 11.234 2.30104 11.3854
2.30124 11.234 2.30101 11.3256
2.30125 11.2357 2.30108 11.3555
