TrainLoss TrainAccuracy TestLoss TestAccuracy
2.30858 9.73647 2.30591 9.77309
2.30382 10.3195 2.30265 11.3854
2.30205 11.239 2.30165 11.3256
2.30146 11.239 2.30128 11.3256
2.30127 11.244 2.30115 11.2958
2.30121 11.2407 2.30101 11.3854
2.30121 11.2357 2.30114 11.2958
2.30121 11.2357 2.30104 11.3555
2.30121 11.2357 2.30108 11.3256
2.3012 11.2373 2.30111 11.3256
2.3012 11.239 2.30099 11.3555
2.30121 11.2357 2.30108 11.3256
2.30121 11.2373 2.30096 11.3555
2.30121 11.2407 2.30095 11.3555
2.30119 11.2407 2.30107 11.3256
2.3012 11.239 2.301 11.3555
