TrainLoss TrainAccuracy TestLoss TestAccuracy
2.30854 9.73647 2.3057 9.86266
2.30367 10.2845 2.30276 11.3555
2.302 11.2357 2.30164 11.3555
2.30144 11.2373 2.30119 11.3854
2.30128 11.2357 2.30111 11.3854
2.30122 11.239 2.30105 11.3555
2.30121 11.234 2.30109 11.2958
2.30121 11.234 2.30095 11.4152
2.3012 11.239 2.30106 11.3555
2.3012 11.2357 2.30099 11.3555
2.3012 11.2357 2.30105 11.3555
2.3012 11.2357 2.30107 11.3256
2.30121 11.2357 2.30097 11.3854
2.3012 11.2407 2.30097 11.3854
2.3012 11.2373 2.30102 11.3555
2.3012 11.234 2.30104 11.3555
