TrainLoss TrainAccuracy TestLoss TestAccuracy
1.47945 49.4819 0.880159 74.174
0.696985 79.7825 0.572569 83.2106
0.527582 84.8764 0.465316 87.2512
0.444634 87.6866 0.404264 88.5052
0.388556 89.1475 0.362694 89.6596
0.345439 90.3401 0.322855 90.8838
0.313319 91.323 0.295515 91.5804
0.287732 92.0009 0.278468 91.9885
0.267019 92.5207 0.259554 92.5458
0.249492 93.042 0.246779 93.0832
0.235437 93.3535 0.234666 93.2126
0.22307 93.7183 0.228439 93.3519
0.212575 94.0099 0.218807 93.6903
0.20277 94.2897 0.209197 93.9988
0.194378 94.5113 0.202967 94.0585
0.186952 94.7295 0.197778 94.367
0.180102 94.9094 0.198134 94.2078
0.17389 95.056 0.190511 94.5661
0.168835 95.1959 0.190412 94.3471
0.163359 95.4208 0.181316 94.785
0.158941 95.5091 0.176591 94.9443
0.154526 95.629 0.174511 94.8547
0.150141 95.7373 0.174082 95.0836
0.147006 95.8589 0.17073 95.0338
0.143325 95.9372 0.172579 94.994
0.140158 96.0005 0.17283 94.9642
0.136648 96.1021 0.166589 95.2428
0.133395 96.2503 0.161728 95.4319
0.130931 96.2453 0.1652 95.3125
0.128684 96.3236 0.157589 95.4717
0.125885 96.4619 0.157464 95.6111
0.122884 96.5452 0.15831 95.3921
0.121066 96.6118 0.157204 95.5812
0.118813 96.6618 0.155661 95.6608
0.117388 96.6768 0.153599 95.6409
0.114015 96.7701 0.156267 95.6708
0.1124 96.8483 0.153235 95.7604
0.110445 96.9083 0.150288 95.6907
0.108196 96.9233 0.152135 95.8101
0.106838 96.9916 0.149029 95.8002
0.105201 97.0532 0.149309 95.7703
0.103014 97.0866 0.147916 95.7504
0.101938 97.1482 0.150159 95.8101
0.10019 97.2048 0.145986 95.8997
0.0988541 97.1965 0.146194 95.8698
0.0971351 97.2748 0.148325 95.8798
0.0954145 97.3697 0.145048 95.9395
0.0941893 97.3381 0.145233 95.9096
0.092821 97.3947 0.145339 95.9594
0.091579 97.3781 0.149185 95.7902
0.0899714 97.4747 0.144488 96.0291
0.0888406 97.523 0.145692 95.8499
0.0875713 97.568 0.144195 95.9594
0.0861199 97.6213 0.146678 95.9594
0.0849186 97.6429 0.143509 96.0689
0.0836193 97.7079 0.145417 95.9693
0.082417 97.7612 0.147621 95.9295
0.0816709 97.6962 0.144107 96.0689
0.0803647 97.7462 0.148158 95.9295
0.0788116 97.8362 0.142638 96.1286
0.0782009 97.8528 0.14477 96.0689
0.0766912 97.8545 0.144205 96.0191
0.0757062 97.8995 0.144027 96.0788
0.0747848 97.9827 0.143752 96.1087
0.0736699 97.9977 0.146718 96.0191
0.0725985 98.0261 0.144652 96.1087
0.0713868 98.0544 0.142143 96.1883
0.0704173 98.111 0.145295 96.0589
0.0694682 98.0894 0.144794 96.0987
0.0686123 98.0993 0.145427 96.1485
0.0672929 98.2026 0.144362 96.1684
0.0662247 98.2143 0.14546 96.039
0.0654124 98.186 0.144141 96.248
0.06468 98.2259 0.142608 96.2082
0.0634469 98.2809 0.147848 95.9693
0.0631748 98.3159 0.146966 96.1087
0.0617528 98.3259 0.145934 96.1783
