TrainLoss TrainAccuracy TestLoss TestAccuracy
0.822892 77.562 0.431115 89.2118
0.332284 91.6111 0.272364 92.4861
0.231674 93.8666 0.211563 93.9988
0.184179 95.011 0.180191 94.7452
0.156656 95.7073 0.159572 95.2727
0.139117 96.0938 0.14715 95.5613
0.125802 96.4852 0.137351 95.8798
0.116151 96.7284 0.133316 96.2182
0.108076 96.9216 0.125719 96.258
0.10141 97.1232 0.121113 96.3077
0.0956328 97.2648 0.119293 96.5764
0.0912237 97.3697 0.112819 96.6262
0.0866715 97.5097 0.110285 96.7058
0.0828188 97.6546 0.110997 96.7755
0.0794385 97.7096 0.105575 96.9447
0.0762098 97.8195 0.103124 96.9845
0.0730775 97.9078 0.105288 96.9347
0.0707934 97.9877 0.101096 96.9546
0.0684343 98.0344 0.100991 96.9944
0.0656184 98.1077 0.0985195 97.1437
0.0635148 98.161 0.103857 96.9049
0.0621195 98.1943 0.0967218 97.1835
0.0597128 98.2759 0.0998601 97.074
0.0576166 98.3692 0.0943193 97.3428
0.0559994 98.4292 0.0966838 97.2034
0.0544193 98.4408 0.101952 96.9646
0.0530207 98.4575 0.0943355 97.3029
0.051266 98.5341 0.0932603 97.2532
0.0497752 98.5791 0.094127 97.3527
0.0485049 98.6274 0.0918691 97.3627
0.0474494 98.6391 0.0925839 97.3328
0.0459881 98.714 0.0906275 97.492
0.0448242 98.7557 0.0950632 97.1636
0.0434381 98.7723 0.0924597 97.3826
0.0423946 98.7856 0.0897253 97.3527
0.0414061 98.8173 0.0939739 97.3428
0.040639 98.8806 0.0944161 97.3925
0.0391965 98.9456 0.0910404 97.3428
0.0383914 98.9322 0.0976334 97.293
0.0371791 98.9556 0.0932228 97.3527
0.0363943 99.0189 0.100711 97.1238
0.035242 99.0388 0.0919331 97.3428
0.0344507 99.0838 0.0932179 97.4522
0.0335572 99.0805 0.0959724 97.3925
0.0324972 99.1388 0.0938184 97.3328
