TrainLoss TrainAccuracy TestLoss TestAccuracy
0.938765 71.7917 0.447068 86.6043
0.328169 90.9632 0.283142 92.4662
0.236379 93.6584 0.23708 93.5211
0.199811 94.5562 0.210545 94.0685
0.177688 95.1009 0.196686 94.6059
0.162482 95.4341 0.185872 94.8049
0.150796 95.7439 0.177033 94.9244
0.141892 95.9172 0.170529 95.2428
0.134669 96.1204 0.167042 95.1632
0.128752 96.292 0.16061 95.3225
0.123257 96.4036 0.15657 95.4817
0.119057 96.4969 0.154986 95.4618
0.11484 96.7068 0.153393 95.5613
0.1113 96.7567 0.150113 95.6907
0.108143 96.8833 0.14664 95.8002
0.104964 96.9816 0.146685 95.7803
0.102156 97.0599 0.141869 95.9594
0.099739 97.1049 0.144527 95.8997
0.0971584 97.2298 0.142009 95.84
0.0949012 97.2581 0.141391 95.8599
0.0930405 97.3414 0.139279 95.9793
0.0911828 97.4114 0.136514 96.0589
0.0890351 97.433 0.135482 96.1286
0.0876423 97.4747 0.137049 96.0689
0.0858259 97.533 0.135856 96.1783
0.0843687 97.563 0.134353 96.0689
0.0827674 97.5963 0.133629 96.1783
0.0812372 97.6513 0.132786 96.039
0.0800374 97.6829 0.1307 96.2082
0.0785129 97.7662 0.139621 96.1286
0.0774289 97.7945 0.130513 96.0987
0.0762041 97.8312 0.12985 96.1584
0.0746044 97.9011 0.130284 96.0888
0.0738368 97.8778 0.132347 96.1186
0.072343 97.9644 0.128781 96.2779
0.0717276 97.9811 0.128074 96.3276
0.0704343 97.9461 0.128659 96.2182
0.0695819 98.0244 0.127611 96.3376
0.0684856 98.0344 0.127747 96.2381
0.067754 98.0927 0.126404 96.3177
0.0666967 98.0694 0.128237 96.2779
0.0659037 98.1077 0.12779 96.3873
0.0649675 98.1577 0.128437 96.258
0.0641637 98.1743 0.127592 96.3077
0.0632891 98.176 0.124944 96.3475
0.0624845 98.2126 0.125539 96.2878
0.0616875 98.2309 0.126994 96.3575
0.0607055 98.3076 0.125158 96.457
0.0603397 98.2493 0.124943 96.3873
0.0595109 98.3376 0.124309 96.4172
0.0585121 98.3159 0.123937 96.4271
0.0578791 98.3509 0.126413 96.4072
0.0571324 98.3809 0.126583 96.3575
0.0566108 98.4009 0.12485 96.4471
0.0557345 98.4292 0.124134 96.3077
0.0552844 98.4442 0.125605 96.4869
0.0545054 98.4692 0.124971 96.4471
0.0540791 98.5075 0.126201 96.4072
0.0532831 98.5191 0.126067 96.3973
0.052472 98.5225 0.126884 96.3774
0.0522251 98.4875 0.124894 96.4869
