TrainLoss TrainAccuracy TestLoss TestAccuracy
0.0576202 98.5858 0.0875235 97.2233
0.0428952 99.0105 0.0842379 97.4025
0.0389886 99.0955 0.0830612 97.3925
0.0362851 99.1321 0.0799969 97.4323
0.0342418 99.2121 0.0813341 97.4423
0.0326119 99.2687 0.0803486 97.502
0.0309492 99.2854 0.0794908 97.4025
0.0299938 99.3087 0.0805923 97.6314
0.0289906 99.342 0.0789353 97.5816
0.0276727 99.367 0.0783472 97.5717
0.0265425 99.4153 0.0798213 97.5717
0.0257805 99.4286 0.0790268 97.6513
0.0247814 99.4253 0.0811895 97.4622
0.0240555 99.4703 0.0832881 97.4622
0.0233638 99.4986 0.0808956 97.5318
0.0226001 99.4936 0.0810293 97.6712
0.0220226 99.5153 0.0821447 97.492
0.0212755 99.5386 0.0813549 97.5119
0.0206745 99.5569 0.0808706 97.5916
0.0197556 99.5719 0.0796281 97.6115
