TrainLoss TrainAccuracy TestLoss TestAccuracy
2.30864 9.73314 2.30594 9.8328
2.30376 10.4194 2.30272 11.4152
2.30203 11.2373 2.30181 11.2958
2.30146 11.2357 2.3012 11.4152
2.30128 11.234 2.30115 11.3854
2.30122 11.2373 2.30109 11.2958
2.3012 11.2373 2.30096 11.3854
2.30121 11.2357 2.3011 11.2958
2.3012 11.239 2.30114 11.3256
2.3012 11.239 2.30101 11.3256
2.3012 11.2323 2.30095 11.4152
2.3012 11.239 2.3011 11.2958
2.30121 11.234 2.30096 11.3256
2.3012 11.234 2.30096 11.3555
2.30121 11.234 2.30105 11.3256
2.3012 11.2373 2.30109 11.2958
2.30121 11.234 2.30098 11.3555
