TrainLoss TrainAccuracy TestLoss TestAccuracy
0.0754724 97.9144 0.0897159 97.4025
0.0451029 98.8773 0.0903076 97.4025
0.039676 99.0055 0.0822926 97.6115
0.0368583 99.1088 0.0810034 97.6115
0.0341223 99.2038 0.0809895 97.6214
0.0327644 99.1954 0.0827581 97.6115
0.0311382 99.2437 0.081328 97.6712
0.0297902 99.2804 0.0862594 97.6513
0.028413 99.3403 0.082469 97.6115
0.0276928 99.342 0.0835046 97.5318
0.0264757 99.3737 0.0809954 97.6513
0.0256333 99.3853 0.0848098 97.5717
0.0247933 99.4353 0.0802962 97.6314
0.0237723 99.462 0.0815572 97.6115
0.0229826 99.5019 0.0840534 97.5518
0.0223474 99.5019 0.082775 97.6712
0.0214666 99.5169 0.0818773 97.5916
0.0210464 99.5153 0.08115 97.6513
0.0204597 99.5369 0.0835152 97.6214
0.0198828 99.5452 0.0854603 97.5816
0.0190664 99.5736 0.0833319 97.701
0.0187924 99.6035 0.0840471 97.6314
0.0178073 99.6302 0.0870785 97.5418
