TrainLoss TrainAccuracy TestLoss TestAccuracy
1.27224 64.1791 0.486416 87.7389
0.335385 91.303 0.282318 92.6951
0.211546 94.3597 0.223898 93.8396
0.162051 95.539 0.192806 94.5959
0.134128 96.2104 0.1718 95.0438
0.116161 96.7134 0.157482 95.3225
0.103408 97.0499 0.14637 95.6807
0.0939164 97.3231 0.137714 95.8897
0.0859786 97.5796 0.132128 96.0291
0.0803164 97.7179 0.126293 96.3276
0.0752081 97.8611 0.1237 96.4371
0.0710876 97.9511 0.121153 96.4371
0.0673105 98.091 0.117081 96.5366
0.0642253 98.1843 0.115209 96.666
0.0612077 98.2659 0.112581 96.7058
0.0586784 98.3192 0.113076 96.7357
0.0564733 98.3925 0.109315 96.875
0.0546473 98.4575 0.109641 96.7854
0.0525968 98.4858 0.109161 96.9049
0.0507915 98.5591 0.108655 96.8551
0.0493531 98.5774 0.106822 96.9148
0.0477812 98.6224 0.103177 97.0541
0.0464039 98.6657 0.103009 97.074
0.0449093 98.7307 0.104507 96.9248
0.0438016 98.774 0.103969 96.875
0.0425673 98.8023 0.102971 97.0342
0.0416337 98.8689 0.103836 97.1338
0.0403696 98.8923 0.101305 97.2034
0.039475 98.9239 0.102283 97.1039
0.0387461 98.9422 0.101991 97.1338
0.0378004 98.9572 0.100748 97.1338
0.0368426 98.9805 0.100504 97.1736
0.0358226 99.0522 0.100101 97.2731
0.0350997 99.0472 0.100358 97.2034
0.0342724 99.1138 0.101307 97.2233
0.0335049 99.1021 0.100295 97.2233
0.0328809 99.1371 0.100135 97.293
0.0321498 99.1621 0.102435 97.2631
0.031527 99.1888 0.0987186 97.2731
0.0308176 99.2138 0.101328 97.2532
0.0302421 99.1938 0.10428 97.1338
0.0296264 99.2304 0.0993865 97.3029
0.028977 99.287 0.101268 97.2731
0.028339 99.312 0.100992 97.3925
0.0278905 99.2887 0.100998 97.3129
0.0271954 99.3187 0.102657 97.1935
0.0268936 99.3503 0.100297 97.3627
0.0261557 99.3537 0.100842 97.3229
0.0256288 99.4236 0.101121 97.4323
