TrainLoss TrainAccuracy TestLoss TestAccuracy
0.0895314 97.7096 0.11265 96.5068
0.0662939 98.2293 0.10073 96.9248
0.0591047 98.3625 0.0958703 97.1437
0.0545983 98.4791 0.090748 97.1636
0.0505149 98.5591 0.092225 97.2233
0.0471296 98.6907 0.0891581 97.3527
0.0442209 98.789 0.0862986 97.4124
0.0424176 98.7973 0.0851414 97.4522
0.0402623 98.8673 0.0874434 97.3428
0.0380642 98.9472 0.0881915 97.502
0.0362622 99.0055 0.0847574 97.4821
0.0342041 99.0572 0.0856207 97.4821
0.0329075 99.0672 0.0842513 97.6314
0.0310708 99.1188 0.0888948 97.4025
0.0301249 99.1671 0.0829279 97.5617
0.028348 99.2337 0.0866629 97.5916
0.0268926 99.2754 0.0911525 97.4821
0.0257841 99.3287 0.0846296 97.5119
0.024587 99.342 0.0842726 97.6015
0.0238337 99.3487 0.085699 97.6115
0.0223128 99.422 0.0867196 97.5219
0.0215067 99.462 0.0883214 97.4721
0.0203092 99.4936 0.0896383 97.4224
0.0193811 99.4969 0.0882199 97.492
0.0180511 99.6002 0.0887709 97.6015
