TrainLoss TrainAccuracy TestLoss TestAccuracy
0.0455183 98.739 0.0906514 97.3328
0.0377827 98.9739 0.0878204 97.4124
0.0352897 99.0872 0.0859115 97.3726
0.0337274 99.1305 0.084781 97.5717
0.0324649 99.1421 0.0878739 97.4423
0.031444 99.1671 0.0857667 97.502
0.0302037 99.2237 0.0866381 97.4423
0.0290203 99.2587 0.0871176 97.4622
0.0280706 99.2654 0.0850477 97.5219
0.027016 99.337 0.0882095 97.4622
0.026398 99.347 0.0854586 97.4522
0.0254352 99.3487 0.0847006 97.492
0.02481 99.382 0.0854359 97.4721
0.0243097 99.3903 0.0830726 97.6214
0.0234874 99.4236 0.0864946 97.4721
0.0229207 99.4403 0.0888991 97.5119
0.0220397 99.4769 0.0897374 97.4124
0.0214595 99.472 0.0873056 97.5219
0.0207625 99.5036 0.0876357 97.492
0.0200594 99.5469 0.0867272 97.6513
0.0193908 99.5436 0.0901588 97.5119
0.0190911 99.5502 0.090267 97.4821
0.0184541 99.5786 0.0888275 97.4821
0.017981 99.5969 0.0889977 97.5418
