TrainLoss TrainAccuracy TestLoss TestAccuracy
0.106733 97.0449 0.113007 96.656
0.0610444 98.5008 0.0996235 96.9049
0.0519626 98.729 0.0944413 97.2134
0.0470844 98.8223 0.0917719 97.2233
0.0436387 98.9106 0.0917084 97.2432
0.0410922 98.9706 0.0864751 97.3129
0.0385698 99.0905 0.0868167 97.4124
0.0368026 99.1438 0.087479 97.4423
0.0351826 99.1688 0.0852878 97.4224
0.03343 99.2337 0.0837215 97.4025
0.0322712 99.2504 0.0880452 97.4423
0.0308236 99.2937 0.0821559 97.6015
0.0296419 99.312 0.0849378 97.4124
0.0289389 99.3354 0.0847344 97.5318
0.0276255 99.3803 0.0819663 97.5816
0.0269715 99.3603 0.0835397 97.502
0.0258839 99.4236 0.0827934 97.5219
0.025011 99.4603 0.0834102 97.492
0.0245105 99.4636 0.0824515 97.5119
0.0233687 99.4836 0.0833249 97.4721
0.022862 99.5253 0.081932 97.5119
0.0221865 99.5219 0.0831605 97.5816
0.0213503 99.5586 0.0853191 97.5816
0.0205511 99.6002 0.0853043 97.5418
0.020163 99.5602 0.0835779 97.5816
